;ID;Year_Birth;Education;Marital_Status; Income ;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Response;Complain;Country
4;5371;1989;Graduation;Single;$21,474.00 ;1;0;4/8/14;0;6;16;24;11;0;34;2;3;1;2;7;1;0;0;0;0;1;0;SP
11;5642;1979;Master;Together;$62,499.00 ;1;0;12/9/13;0;140;4;61;0;13;4;2;3;1;6;4;0;0;0;0;0;0;0;SP
13;2964;1981;Graduation;Married;$26,872.00 ;0;0;10/16/13;0;3;10;8;3;16;32;1;1;1;2;6;0;0;0;0;0;0;0;CA
15;837;1977;Graduation;Married;$54,809.00 ;1;1;9/11/13;0;63;6;57;13;13;22;4;2;1;5;4;0;0;0;0;0;0;0;SP
16;10521;1977;Graduation;Married;$54,809.00 ;1;1;9/11/13;0;63;6;57;13;13;22;4;2;1;5;4;0;0;0;0;0;1;0;SP
22;10470;1979;Master;Married;$40,662.00 ;1;0;3/15/13;0;40;2;23;0;4;23;2;2;1;3;4;0;0;0;0;0;0;0;GER
23;4065;1976;PhD;Married;$49,544.00 ;1;0;2/12/13;0;308;0;73;0;0;23;2;5;1;8;7;0;0;0;0;0;0;0;SP
29;9687;1975;Graduation;Single;$73,170.00 ;0;0;5/31/14;1;184;174;256;50;30;32;1;5;4;6;2;0;0;0;0;0;0;0;CA
30;8890;1971;PhD;Divorced;$65,808.00 ;1;1;5/30/14;1;155;7;80;13;7;10;3;5;1;5;6;0;0;0;0;0;0;0;SP
31;9264;1986;Graduation;Married;$79,529.00 ;0;0;4/27/14;1;423;42;706;73;197;197;1;4;8;9;2;0;0;0;0;0;0;0;CA
32;5824;1972;PhD;Together;$34,578.00 ;2;1;4/11/14;1;7;0;1;0;0;0;1;1;0;2;6;0;0;0;0;0;0;0;AUS
33;5794;1974;PhD;Married;$46,374.00 ;0;1;3/17/14;1;408;0;21;0;0;17;3;7;1;7;8;0;1;0;1;0;1;0;IND
34;3068;1990;Graduation;Married;$18,351.00 ;0;0;10/29/13;1;1;12;9;0;14;7;1;2;0;3;7;0;0;0;0;0;0;0;SP
35;7962;1987;PhD;Single;$95,169.00 ;0;0;10/9/13;1;1285;21;449;106;20;20;1;4;3;4;1;0;0;1;1;0;1;0;SP
36;2681;1984;2n Cycle;Married;$65,370.00 ;0;0;8/1/13;1;71;22;112;138;89;29;1;2;3;13;1;0;0;0;0;0;0;0;SP
40;5585;1972;Graduation;Single;$21,359.00 ;1;0;4/20/13;1;12;2;17;6;1;10;2;2;0;3;8;0;0;0;0;0;1;0;CA
42;1524;1983;2n Cycle;Single;$81,698.00 ;0;0;3/1/13;1;709;45;115;30;160;45;1;8;2;5;5;0;0;0;1;0;1;0;SP
43;3657;1986;Graduation;Single;$39,146.00 ;1;0;2/14/13;1;94;1;33;13;12;12;3;4;0;4;8;0;0;0;0;0;0;0;SP
46;3158;1973;Graduation;Married;$32,300.00 ;1;0;1/3/13;1;13;3;6;6;5;6;1;1;0;3;8;0;0;0;0;0;0;0;SP
50;1241;1984;2n Cycle;Married;$14,796.00 ;1;0;9/17/12;1;13;3;8;7;4;16;2;1;0;3;9;0;0;0;0;0;1;0;GER
52;7264;1978;2n Cycle;Single;$52,195.00 ;2;1;5/12/14;2;12;0;4;0;0;1;1;1;0;2;8;0;0;0;0;0;0;0;SA
54;6398;1974;Basic;Married;$18,393.00 ;1;0;3/29/14;2;7;10;13;16;0;4;2;3;0;3;8;0;0;0;0;0;0;0;SP
56;4877;1973;Master;Married;$38,576.00 ;0;1;3/4/14;2;34;0;7;0;0;0;1;1;0;3;7;0;0;0;0;0;0;0;IND
57;3066;1975;PhD;Together;$61,905.00 ;0;1;2/4/14;2;167;0;43;6;2;13;2;4;2;4;5;0;0;0;0;0;0;0;SA
60;4246;1982;Master;Single;$6,560.00 ;0;0;12/12/13;2;67;11;26;4;3;262;0;1;0;1;17;0;0;0;0;0;0;0;SP
63;3112;1977;Master;Married;$22,701.00 ;1;0;9/5/13;2;2;4;9;0;4;5;1;1;0;3;5;0;0;0;0;0;0;0;SP
64;4865;1974;Master;Divorced;$53,367.00 ;1;1;8/31/13;2;229;7;140;10;3;11;7;5;1;8;7;0;0;0;0;0;1;0;AUS
65;6287;1986;Graduation;Together;$34,728.00 ;1;0;7/30/13;2;14;0;16;0;0;6;1;1;1;2;6;0;0;0;0;0;1;0;SP
68;1519;1972;PhD;Single;$38,578.00 ;1;1;6/22/13;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;1;0;SP
69;9080;1972;PhD;Single;$38,578.00 ;1;1;6/22/13;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;0;0;SP
70;1772;1975;PhD;Married;$79,174.00 ;0;0;1/11/13;2;1074;37;518;193;92;129;1;5;6;7;2;0;0;1;1;0;1;0;CA
72;5510;1977;Master;Married;$43,263.00 ;0;1;11/21/12;2;262;6;61;0;10;102;3;5;2;6;5;0;0;0;0;0;0;0;SP
74;7022;1971;Graduation;Married;$76,445.00 ;1;0;9/28/12;2;739;107;309;140;80;35;1;2;5;13;6;0;0;0;0;0;0;0;SA
77;7919;1976;PhD;Together;$72,335.00 ;0;0;8/13/12;2;1285;105;653;28;21;0;1;10;4;8;8;0;0;0;0;0;1;0;SP
85;3878;1980;2n Cycle;Single;$31,859.00 ;1;0;2/27/14;3;3;4;7;15;8;11;1;1;0;3;7;0;0;0;0;0;0;0;SP
86;9612;1987;2n Cycle;Single;$23,830.00 ;0;0;2/7/14;3;1;8;6;4;8;16;1;1;0;3;7;0;0;0;0;0;0;0;SP
87;4098;1973;Graduation;Married;$24,639.00 ;1;1;1/28/14;3;20;3;16;0;4;1;3;2;0;4;6;0;0;0;0;0;0;0;AUS
89;3896;1984;Graduation;Married;$27,255.00 ;1;0;11/7/13;3;22;1;11;0;1;2;1;1;0;3;7;0;0;0;0;0;0;0;SP
90;9970;1977;Graduation;Together;$55,375.00 ;0;1;10/17/13;3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;0;0;CA
94;10582;1979;Graduation;Married;$72,063.00 ;0;1;7/3/13;3;180;32;348;76;32;90;2;5;2;12;2;0;0;0;0;0;0;0;GER
98;8601;1980;Graduation;Married;$80,011.00 ;0;1;4/29/13;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;0;AUS
101;10676;1982;Graduation;Married;$63,211.00 ;0;0;11/2/12;3;145;193;459;205;26;145;2;3;8;7;2;0;0;0;0;0;1;0;SP
102;1041;1973;PhD;Single;$48,432.00 ;0;1;10/18/12;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;1;0;SA
103;492;1973;PhD;YOLO;$48,432.00 ;0;1;10/18/12;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;0;0;CA
104;11133;1973;PhD;YOLO;$48,432.00 ;0;1;10/18/12;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;1;0;IND
108;8278;1990;PhD;Married;$74,214.00 ;0;0;8/26/12;3;863;83;547;86;99;33;1;8;2;5;5;0;0;0;0;0;0;0;SP
109;6815;1980;2n Cycle;Married;$96,547.00 ;0;0;5/23/14;4;448;21;125;52;101;62;0;7;6;8;2;1;0;1;1;0;1;0;SP
113;2130;1982;Graduation;Together;$45,203.00 ;2;0;3/23/14;4;35;3;67;10;8;24;1;3;1;3;6;0;0;0;0;0;1;0;SA
114;2296;1975;Master;Married;$37,368.00 ;1;0;12/16/13;4;3;2;11;2;2;10;1;1;0;2;6;1;0;0;0;0;0;0;SP
116;11084;1976;Master;Together;$65,104.00 ;0;1;11/14/13;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;1;0;CA
117;5172;1976;Master;Together;$65,104.00 ;0;1;11/14/13;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;0;SP
122;7685;1978;Graduation;Married;$33,039.00 ;1;0;9/9/13;4;30;8;12;8;8;12;1;2;0;4;5;0;0;0;0;0;0;0;SP
123;6310;1978;Graduation;Married;$33,039.00 ;1;0;9/9/13;4;30;8;12;8;8;12;1;2;0;4;5;0;0;0;0;0;0;0;CA
126;2404;1976;Graduation;Married;$53,359.00 ;1;1;5/27/13;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;0;US
127;8581;1971;Master;Married;$49,505.00 ;1;1;3/5/13;4;604;0;100;19;0;28;9;10;2;8;8;0;0;0;0;0;0;0;SP
135;7233;1972;Graduation;Married;$69,209.00 ;0;0;9/17/12;4;496;32;849;229;48;128;2;5;3;6;4;0;0;0;1;0;0;0;CA
136;6678;1989;Graduation;Together;$31,928.00 ;1;0;3/28/14;5;33;4;24;4;2;5;2;3;0;4;7;0;0;0;0;0;0;0;IND
137;830;1987;PhD;Single;$74,004.00 ;0;0;2/24/14;5;784;48;560;42;176;48;1;4;6;4;3;0;0;1;1;0;1;0;IND
138;6365;1987;2n Cycle;Married;$30,390.00 ;0;0;9/2/13;5;10;12;12;25;1;20;1;2;0;3;6;0;0;0;0;0;0;0;IND
