;ID;Year_Birth;Education;Marital_Status; Income ;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Response;Complain;Country
0;1826;1970;Graduation;Divorced;$84,835.00 ;0;0;6/16/14;0;18900;10400;37900;11100;18900;21800;1;1;6;6;0;0;0;0;0;0;1;0;SP
1;1;1961;Graduation;Single;$57,091.00 ;0;0;6/15/14;0;46400;500;6400;700;0;3700;1;2;5;7;2;0;0;0;0;1;1;0;CA
2;10476;1958;Graduation;Married;$67,267.00 ;0;1;5/13/14;0;13400;1100;5900;1500;200;3000;1;1;3;5;1;0;0;0;0;0;0;0;US
3;1386;1967;Graduation;Together;$32,474.00 ;1;1;5/11/14;0;1000;0;100;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;AUS
5;7348;1958;PhD;Single;$71,691.00 ;0;0;3/17/14;0;33600;13000;41100;24000;3200;4300;1;1;11;5;0;0;0;0;0;0;1;0;SP
6;4073;1954;2n Cycle;Married;$63,564.00 ;0;0;1/29/14;0;76900;8000;25200;1500;3400;6500;1;3;15;7;2;1;0;0;0;0;1;0;GER
7;1991;1967;Graduation;Together;$44,931.00 ;0;1;1/18/14;0;7800;0;1100;0;0;700;1;0;2;3;1;0;0;0;0;0;0;0;SP
8;4047;1954;PhD;Married;$65,324.00 ;0;1;1/11/14;0;38400;0;10200;2100;3200;500;3;2;3;9;1;0;0;0;0;0;0;0;US
9;9477;1954;PhD;Married;$65,324.00 ;0;1;1/11/14;0;38400;0;10200;2100;3200;500;3;2;3;9;1;0;0;0;0;0;0;0;IND
10;2079;1947;2n Cycle;Married;$81,044.00 ;0;0;12/27/13;0;45000;2600;53500;7300;9800;2600;1;2;9;10;0;0;0;0;0;0;0;0;US
12;10530;1959;PhD;Widow;$67,786.00 ;0;0;12/7/13;0;43100;8200;44100;8000;2000;10200;1;1;9;6;0;0;0;0;0;0;1;0;IND
14;10311;1969;Graduation;Married;$4,428.00 ;0;1;10/5/13;0;1600;400;1200;200;400;32100;0;6;0;0;0;0;0;0;0;0;0;0;SP
17;10175;1958;PhD;Divorced;$32,173.00 ;0;1;8/1/13;0;1800;0;200;0;0;200;1;0;0;3;1;0;0;0;0;0;0;0;SP
18;1473;1960;2n Cycle;Single;$47,823.00 ;0;1;7/23/13;0;5300;100;500;200;100;1000;2;1;0;3;3;0;0;0;0;0;0;0;CA
19;2795;1958;Master;Single;$30,523.00 ;2;1;7/1/13;0;500;0;300;0;0;500;1;0;0;2;2;0;0;0;0;0;0;0;CA
20;2285;1954;Master;Together;$36,634.00 ;0;1;5/28/13;0;21300;900;7600;400;300;3000;3;1;3;5;2;0;0;0;0;0;0;0;SA
21;115;1966;Master;Single;$43,456.00 ;0;1;3/26/13;0;27500;1100;6800;2500;700;700;3;1;2;8;1;0;0;0;0;0;0;0;IND
24;10968;1969;Graduation;Single;$57,731.00 ;0;1;11/23/12;0;26600;2100;30000;6500;800;4400;4;2;12;6;2;0;0;0;0;0;0;0;IND
25;5985;1965;Master;Single;$33,168.00 ;0;1;10/13/12;0;8000;100;3700;0;100;300;3;0;2;4;2;0;0;0;0;0;0;0;SP
26;5430;1956;Graduation;Together;$54,450.00 ;1;1;9/14/12;0;45400;0;17100;800;1900;3200;12;2;3;8;2;0;0;0;0;0;0;0;SP
27;8432;1956;Graduation;Together;$54,450.00 ;1;1;9/14/12;0;45400;0;17100;800;1900;3200;12;3;3;8;3;0;0;0;0;0;0;0;SP
28;453;1956;PhD;Widow;$35,340.00 ;1;1;6/29/14;1;2700;0;1200;0;100;500;2;0;0;3;2;0;0;0;0;0;0;0;SP
37;10141;1960;Master;Divorced;$39,228.00 ;0;0;5/10/13;1;700;100;600;0;300;300;1;0;0;3;1;0;0;0;0;0;0;0;SA
38;3725;1961;PhD;Single;$84,865.00 ;0;0;5/9/13;1;124800;1600;34900;4300;1600;1600;1;1;6;9;1;0;1;1;1;1;1;0;SP
39;3767;1968;Graduation;Married;$61,314.00 ;0;1;4/25/13;1;37800;0;18900;9700;17200;17200;2;2;8;12;1;0;0;0;0;0;0;0;SP
41;7030;1955;PhD;Married;$66,465.00 ;0;1;3/30/13;1;120000;0;20400;3800;2900;1400;3;4;14;12;2;0;0;0;1;0;0;0;SP
44;5740;1970;2n Cycle;Divorced;$25,959.00 ;1;1;2/14/13;1;400;200;1200;700;500;2600;2;0;3;2;2;0;0;0;0;0;1;0;SP
45;9595;1961;Graduation;Together;$64,260.00 ;0;0;1/11/13;1;53900;16900;81600;2000;0;3000;1;1;8;4;1;0;0;0;0;0;1;0;SP
47;5114;1965;Master;Married;$74,806.00 ;0;1;12/19/12;1;67000;900;24900;0;2800;900;2;2;6;5;1;0;0;0;0;0;0;0;AUS
48;340;1970;Graduation;Divorced;$72,967.00 ;0;1;12/15/12;1;15800;3500;17900;0;0;12500;2;2;3;8;1;1;0;0;0;0;1;0;GER
49;8805;1960;Graduation;Single;$48,904.00 ;0;1;12/2/12;1;28300;1000;3800;0;1300;2700;4;2;3;4;3;0;0;0;0;0;0;0;US
