Year_Birth;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Response;Complain;Dt_year;Dt_month;Education_2n Cycle;Education_Basic;Education_Graduation;Education_Master;Education_PhD;Marital_Status_Absurd;Marital_Status_Alone;Marital_Status_Divorced;Marital_Status_Married;Marital_Status_Single;Marital_Status_Together;Marital_Status_Widow;Country_AUS;Country_CA;Country_GER;Country_IND;Country_ME;Country_SA;Country_SP;Country_US
1970.0;84835.0;0.0;0.0;0.0;18900.0;10400.0;37900.0;11100.0;18900.0;21800.0;1.0;1.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2014.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1961.0;57091.0;0.0;0.0;0.0;46400.0;500.0;6400.0;700.0;0.0;3700.0;1.0;2.0;5.0;7.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2014.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1958.0;67267.0;0.0;1.0;0.0;13400.0;1100.0;5900.0;1500.0;200.0;3000.0;1.0;1.0;3.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1967.0;32474.0;1.0;1.0;0.0;1000.0;0.0;100.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1958.0;71691.0;0.0;0.0;0.0;33600.0;13000.0;41100.0;24000.0;3200.0;4300.0;1.0;1.0;11.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2014.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1954.0;63564.0;0.0;0.0;0.0;76900.0;8000.0;25200.0;1500.0;3400.0;6500.0;1.0;3.0;15.0;7.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2014.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1967.0;44931.0;0.0;1.0;0.0;7800.0;0.0;1100.0;0.0;0.0;700.0;1.0;0.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1954.0;65324.0;0.0;1.0;0.0;38400.0;0.0;10200.0;2100.0;3200.0;500.0;3.0;2.0;3.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1954.0;65324.0;0.0;1.0;0.0;38400.0;0.0;10200.0;2100.0;3200.0;500.0;3.0;2.0;3.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
1947.0;81044.0;0.0;0.0;0.0;45000.0;2600.0;53500.0;7300.0;9800.0;2600.0;1.0;2.0;9.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1959.0;67786.0;0.0;0.0;0.0;43100.0;8200.0;44100.0;8000.0;2000.0;10200.0;1.0;1.0;9.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2013.0;12.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
